"title","artist","albumTitle","bpm","key","comment","year","location"
"New York, New York (Originally Performed By Frank Sinatra) [Karaoke Version]","Paris Music","Karaoke Hits Swing & Big Band, Vol. 3","0","","","2013","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Sheba Barry Singing Set/30 New York, New York (Originally Performed By Frank Sinatra) [Karaoke Version].m4a"
"My Heart Belongs To Daddy (made popular by Marilyn Monroe) [backing version]","Party Tyme","Standards 10 - Party Tyme (Backing Versions)","0","","","2024","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Sheba Barry Singing Set/17 My Heart Belongs To Daddy (made popular by Marilyn Monroe) [backing version].m4a"
"Toxic - Karaoke","Scott Bradlee's Postmodern Jukebox","So, You Think You Can Sing? Vol. 3 (Official PMJ Karaoke Tracks)","0","","","2017","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Sheba Barry Singing Set/12 Toxic - Karaoke.m4a"
"Hit the Road, Jack - Karaoke Version In the Style of Ray Charles","Karaoke Diamonds","Ray Charles - The Best Songs (Karaoke Version In the Style of Ray Charles)","0","","","2011","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Sheba Barry Singing Set/11 Hit the Road, Jack - Karaoke Version In the Style of Ray Charles.m4a"
"Milord (Karaoke Version)","SBI Audio Karaoke","Sbi Karaoke Superstars - Edith Piaf & Billie Holiday","0","","","2013","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Sheba Barry Singing Set/07 Milord (Karaoke Version).m4a"
"Diamonds are a Girl's Best Friend (Originally Performed by Marilyn Monroe) [Karaoke Version]","The Karaoke Channel","The Karaoke Channel - Standards & Showtunes Hits of 1953, Vol. 1","0","","","2016","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Sheba Barry Singing Set/07 Diamonds are a Girl's Best Friend (Originally Performed by Marilyn Monroe) [Karaoke Version].m4a"
"Minnie the Moocher (Originally Performed by Cab Calloway) [Karaoke Version]","The Karaoke Channel","The Karaoke Channel - Hits from a Few Generations Ago","0","","","2016","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Sheba Barry Singing Set/04 Minnie the Moocher (Originally Performed by Cab Calloway) [Karaoke Version].m4a"
"Mein Herr (Karaoke Version)","Ameritz Karaoke Standards","Karaoke Hits from Cabaret","0","","","2013","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Sheba Barry Singing Set/04 Mein Herr (Karaoke Version).m4a"
"Put A Lid On It (Karaoke With Background Vocals)[In the style of Squirrel Nut Zippers]","ProSound Karaoke Band","Karaoke - In the Style of Squirrel Nut Zippers - EP (Professional Performance Tracks)","0","","","2010","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Sheba Barry Singing Set/03 Put A Lid On It (Karaoke With Background Vocals)[In the style of Squirrel Nut Zippers].m4a"
"Feeling Good (Karaoke Version) [Originally Performed By Michael Bublé]","Karaoke Jazz Big Band","Feeling Good (Karaoke Version) [Originally Performed By Michael Bublé]","0","","","2012","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Sheba Barry Singing Set/02 Feeling Good (Karaoke Version) [Originally Performed By Michael Bublé].m4a"
"Big Spender (Karaoke Version)","SBI Audio Karaoke","Sbi Gallery Series - Shirley Bassey, Vol. 1","0","","","2014","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Sheba Barry Singing Set/02 Big Spender (Karaoke Version).m4a"
"These Boots Are Made for Walking (Karaoke Version) [Originally Performed By Nancy Sinatra]","Karaoke Diamonds","These Boots Are Made for Walking (Karaoke Version) [Originally Performed By Nancy Sinatra]","0","","","2014","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Sheba Barry Singing Set/01 These Boots Are Made for Walking (Karaoke Version) [Originally Performed By Nancy Sinatra].m4a"
"Just a Gigolo (In the Style of David Lee Roth) [Karaoke with Background Vocal]","ProSound Karaoke Band","Just a Gigolo (In the Style of David Lee Roth) [Karaoke with Background Vocal]","0","","","2014","/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - Sheba Barry Singing Set/01 Just a Gigolo (In the Style of David Lee Roth) [Karaoke with Background Vocal].m4a"